"n","name"
"473.2424242424242424","Educational and Dacta"
"476.4687500000000000","Town"
"508.9259259259259259","Minecraft"
"511.8432835820895522","Basic Set"
"526.8571428571428571","RCX"
"539.0000000000000000","Master Building Academy"
"545.3333333333333333","The Return of the King"
"552.0000000000000000","Ghostbusters"
"562.0000000000000000","Avatar"
"563.0000000000000000","Traffic"
"563.5454545454545455","Model"
"580.6000000000000000","Trains"
"592.2352941176470588","LEGO Ideas and CUUSOO"
"595.0000000000000000","RC Train"
"598.0000000000000000","Space"
"600.4426229508196721","Construction"
"618.0000000000000000","Star Wars"
"629.0000000000000000","My Own Creation"
"649.7692307692307692","Universal Building Set"
"664.2500000000000000","Fire"
"665.0000000000000000","Farm"
"667.0000000000000000","Building"
"675.0000000000000000","Star Wars Episode 2"
"683.1875000000000000","Model Team"
"693.6363636363636364","Model"
"713.0000000000000000","eLAB"
"770.0000000000000000","Lamborghini"
"771.0000000000000000","Fire"
"787.5000000000000000","Williams F1"
"850.4000000000000000","Mindstorms"
"869.2000000000000000","The Two Towers"
"904.0000000000000000","Order of the Phoenix"
"919.9090909090909091","Building"
"1001.5384615384615385","Traffic"
"1066.0000000000000000","Recreation"
"1084.0000000000000000","Star Wars Episode 3"
"1279.0000000000000000","Harbor"
"1358.0000000000000000","Mini"
"1387.0000000000000000","FIRST LEGO League"
"1437.0000000000000000","Creator"
"1455.5000000000000000","Ultimate Collector Series"
"1716.6956521739130435","Sculptures"
"2017.0000000000000000","Town Plan"
"2099.8571428571428571","Mosaic"
"2130.0000000000000000","Ultimate Collector Series"
"2199.7058823529411765","Star Wars Episode 4/5/6"
"2350.5833333333333333","Modular Buildings"
"4060.0000000000000000","Disney"
